experiment,variant,instance,seed,value,weight,capacity,time_to_best_s,wall_s,kernel_s,iterations,walkers,budget_s,config_hash
ablation,abl_nocoop,O_800_03,1,4107,2399,2400,8.870,120.464,118.891,746000,1024,120,73ac225155
ablation,abl_nocoop,O_800_03,2,4107,2400,2400,8.870,120.633,119.104,748000,1024,120,73ac225155
ablation,abl_nocoop,O_800_03,3,4107,2399,2400,5.340,120.488,118.975,746000,1024,120,73ac225155
ablation,abl_nocoop,O_800_08,1,4063,2400,2400,5.190,120.458,118.927,762000,1024,120,73ac225155
ablation,abl_nocoop,O_800_08,2,4063,2399,2400,1.760,120.513,118.950,762000,1024,120,73ac225155
ablation,abl_nocoop,O_800_08,3,4063,2400,2400,2.390,120.361,118.827,762000,1024,120,73ac225155
ablation,abl_nocoop,O_1000_03,1,5178,3000,3000,20.630,120.330,118.717,696000,1024,120,73ac225155
ablation,abl_nocoop,O_1000_03,2,5178,3000,3000,13.710,120.606,119.082,700000,1024,120,73ac225155
ablation,abl_nocoop,O_1000_03,3,5178,3000,3000,20.260,120.460,118.915,698000,1024,120,73ac225155
ablation,abl_nocoop,O_1000_08,1,5191,3000,3000,5.070,120.399,118.867,690000,1024,120,73ac225155
ablation,abl_nocoop,O_1000_08,2,5191,3000,3000,6.810,120.473,118.923,690000,1024,120,73ac225155
ablation,abl_nocoop,O_1000_08,3,5191,3000,3000,6.780,120.435,118.905,690000,1024,120,73ac225155
ablation,abl_nocoop,LK_800_03,1,4257,3093,4000,10.290,120.618,119.079,736000,1024,120,73ac225155
ablation,abl_nocoop,LK_800_03,2,4257,3063,4000,9.670,120.317,118.756,734000,1024,120,73ac225155
ablation,abl_nocoop,LK_800_03,3,4257,3115,4000,9.630,120.472,118.954,736000,1024,120,73ac225155
ablation,abl_nocoop,LK_800_08,1,4158,2994,4000,13.010,120.500,118.968,740000,1024,120,73ac225155
ablation,abl_nocoop,LK_800_08,2,4158,2978,4000,15.740,120.587,118.980,738000,1024,120,73ac225155
ablation,abl_nocoop,LK_800_08,3,4158,2973,4000,12.030,120.359,118.843,738000,1024,120,73ac225155
ablation,abl_nocoop,LK_1000_03,1,5395,3790,5000,10.360,120.504,118.940,690000,1024,120,73ac225155
ablation,abl_nocoop,LK_1000_03,2,5395,3841,5000,10.910,120.333,118.613,688000,1024,120,73ac225155
ablation,abl_nocoop,LK_1000_03,3,5395,3790,5000,10.370,120.600,119.049,688000,1024,120,73ac225155
ablation,abl_nocoop,LK_1000_08,1,5394,3879,5000,9.700,120.431,118.907,680000,1024,120,73ac225155
ablation,abl_nocoop,LK_1000_08,2,5394,3879,5000,14.310,120.440,118.850,680000,1024,120,73ac225155
ablation,abl_nocoop,LK_1000_08,3,5394,3872,5000,20.220,120.414,118.871,680000,1024,120,73ac225155
ablation,abl_nocoop,MF_800_03,1,3672,2400,2400,4.040,120.661,119.239,630000,1024,120,73ac225155
ablation,abl_nocoop,MF_800_03,2,3672,2400,2400,1.260,120.343,118.975,628000,1024,120,73ac225155
ablation,abl_nocoop,MF_800_03,3,3672,2400,2400,3.970,120.383,119.019,628000,1024,120,73ac225155
ablation,abl_nocoop,MF_800_08,1,3612,2397,2400,5.220,120.579,119.105,660000,1024,120,73ac225155
ablation,abl_nocoop,MF_800_08,2,3612,2396,2400,7.380,120.452,118.986,658000,1024,120,73ac225155
ablation,abl_nocoop,MF_800_08,3,3612,2396,2400,8.430,120.644,119.255,660000,1024,120,73ac225155
ablation,abl_nocoop,MF_1000_03,1,4643,2999,3000,7.110,120.472,119.050,590000,1024,120,73ac225155
ablation,abl_nocoop,MF_1000_03,2,4643,2998,3000,5.050,120.501,119.075,590000,1024,120,73ac225155
ablation,abl_nocoop,MF_1000_03,3,4643,2999,3000,11.140,120.492,119.099,590000,1024,120,73ac225155
ablation,abl_nocoop,MF_1000_08,1,4572,2997,3000,3.390,120.516,119.125,584000,1024,120,73ac225155
ablation,abl_nocoop,MF_1000_08,2,4572,2997,3000,5.050,120.339,118.962,584000,1024,120,73ac225155
ablation,abl_nocoop,MF_1000_08,3,4572,2997,3000,4.660,120.398,119.018,582000,1024,120,73ac225155
ablation,abl_norestart,O_800_03,1,4107,2399,2400,2.490,120.314,89.045,562000,1024,120,2cfcd5baa1
ablation,abl_norestart,O_800_03,2,4107,2400,2400,2.240,120.497,89.342,564000,1024,120,2cfcd5baa1
ablation,abl_norestart,O_800_03,3,4107,2400,2400,4.200,120.626,89.452,564000,1024,120,2cfcd5baa1
ablation,abl_norestart,O_800_08,1,4063,2400,2400,1.260,120.620,88.687,570000,1024,120,2cfcd5baa1
ablation,abl_norestart,O_800_08,2,4063,2399,2400,1.640,120.318,88.858,570000,1024,120,2cfcd5baa1
ablation,abl_norestart,O_800_08,3,4063,2400,2400,1.250,120.565,89.265,574000,1024,120,2cfcd5baa1
ablation,abl_norestart,O_1000_03,1,5178,3000,3000,3.200,120.590,87.318,520000,1024,120,2cfcd5baa1
ablation,abl_norestart,O_1000_03,2,5178,2999,3000,3.260,120.432,87.011,518000,1024,120,2cfcd5baa1
ablation,abl_norestart,O_1000_03,3,5178,3000,3000,6.490,120.563,87.319,520000,1024,120,2cfcd5baa1
ablation,abl_norestart,O_1000_08,1,5191,3000,3000,2.420,120.427,88.428,520000,1024,120,2cfcd5baa1
ablation,abl_norestart,O_1000_08,2,5191,3000,3000,2.450,120.338,88.112,518000,1024,120,2cfcd5baa1
ablation,abl_norestart,O_1000_08,3,5191,3000,3000,3.250,120.311,88.442,520000,1024,120,2cfcd5baa1
ablation,abl_norestart,LK_800_03,1,4257,3063,4000,1.920,120.362,113.288,704000,1024,120,2cfcd5baa1
ablation,abl_norestart,LK_800_03,2,4257,3071,4000,1.620,120.304,113.296,706000,1024,120,2cfcd5baa1
ablation,abl_norestart,LK_800_03,3,4257,3048,4000,1.600,120.408,113.373,706000,1024,120,2cfcd5baa1
ablation,abl_norestart,LK_800_08,1,4158,2978,4000,45.280,120.526,113.614,698000,1024,120,2cfcd5baa1
