experiment,variant,instance,seed,time_s,value
ablation,abl_nocoop,O_800_03,1,0.420,3911
ablation,abl_nocoop,O_800_03,1,0.840,4095
ablation,abl_nocoop,O_800_03,1,1.170,4098
ablation,abl_nocoop,O_800_03,1,2.140,4102
ablation,abl_nocoop,O_800_03,1,3.740,4103
ablation,abl_nocoop,O_800_03,1,4.700,4104
ablation,abl_nocoop,O_800_03,1,5.670,4106
ablation,abl_nocoop,O_800_03,1,8.870,4107
ablation,abl_nocoop,O_800_03,2,0.400,3913
ablation,abl_nocoop,O_800_03,2,0.820,4094
ablation,abl_nocoop,O_800_03,2,1.480,4099
ablation,abl_nocoop,O_800_03,2,1.800,4100
ablation,abl_nocoop,O_800_03,2,2.450,4103
ablation,abl_nocoop,O_800_03,2,4.060,4104
ablation,abl_nocoop,O_800_03,2,7.270,4106
ablation,abl_nocoop,O_800_03,2,8.870,4107
ablation,abl_nocoop,O_800_03,3,0.410,3887
ablation,abl_nocoop,O_800_03,3,0.820,4097
ablation,abl_nocoop,O_800_03,3,1.480,4101
ablation,abl_nocoop,O_800_03,3,2.770,4105
ablation,abl_nocoop,O_800_03,3,3.730,4106
ablation,abl_nocoop,O_800_03,3,5.340,4107
ablation,abl_nocoop,O_800_08,1,0.410,3864
ablation,abl_nocoop,O_800_08,1,0.820,4055
ablation,abl_nocoop,O_800_08,1,1.150,4058
ablation,abl_nocoop,O_800_08,1,1.770,4061
ablation,abl_nocoop,O_800_08,1,2.080,4062
ablation,abl_nocoop,O_800_08,1,5.190,4063
ablation,abl_nocoop,O_800_08,2,0.400,3866
ablation,abl_nocoop,O_800_08,2,0.810,4054
ablation,abl_nocoop,O_800_08,2,1.140,4055
ablation,abl_nocoop,O_800_08,2,1.760,4063
ablation,abl_nocoop,O_800_08,3,0.400,3875
ablation,abl_nocoop,O_800_08,3,0.810,4051
ablation,abl_nocoop,O_800_08,3,1.140,4057
ablation,abl_nocoop,O_800_08,3,1.760,4059
ablation,abl_nocoop,O_800_08,3,2.390,4063
ablation,abl_nocoop,O_1000_03,1,0.520,4849
ablation,abl_nocoop,O_1000_03,1,0.960,5146
ablation,abl_nocoop,O_1000_03,1,1.330,5152
ablation,abl_nocoop,O_1000_03,1,1.670,5161
ablation,abl_nocoop,O_1000_03,1,2.020,5164
ablation,abl_nocoop,O_1000_03,1,2.370,5169
ablation,abl_nocoop,O_1000_03,1,2.720,5172
ablation,abl_nocoop,O_1000_03,1,3.420,5177
ablation,abl_nocoop,O_1000_03,1,20.630,5178
ablation,abl_nocoop,O_1000_03,2,0.460,4839
ablation,abl_nocoop,O_1000_03,2,0.900,5154
ablation,abl_nocoop,O_1000_03,2,1.260,5167
ablation,abl_nocoop,O_1000_03,2,1.960,5169
ablation,abl_nocoop,O_1000_03,2,2.310,5174
ablation,abl_nocoop,O_1000_03,2,3.360,5177
ablation,abl_nocoop,O_1000_03,2,13.710,5178
ablation,abl_nocoop,O_1000_03,3,0.470,4841
ablation,abl_nocoop,O_1000_03,3,0.910,5136
ablation,abl_nocoop,O_1000_03,3,1.270,5165
ablation,abl_nocoop,O_1000_03,3,1.620,5171
ablation,abl_nocoop,O_1000_03,3,2.320,5174
ablation,abl_nocoop,O_1000_03,3,3.360,5175
ablation,abl_nocoop,O_1000_03,3,5.100,5177
ablation,abl_nocoop,O_1000_03,3,20.260,5178
ablation,abl_nocoop,O_1000_08,1,0.470,4964
ablation,abl_nocoop,O_1000_08,1,0.910,5165
ablation,abl_nocoop,O_1000_08,1,1.260,5176
ablation,abl_nocoop,O_1000_08,1,1.610,5183
ablation,abl_nocoop,O_1000_08,1,1.960,5189
ablation,abl_nocoop,O_1000_08,1,3.690,5190
ablation,abl_nocoop,O_1000_08,1,5.070,5191
ablation,abl_nocoop,O_1000_08,2,0.460,4941
ablation,abl_nocoop,O_1000_08,2,0.900,5162
ablation,abl_nocoop,O_1000_08,2,1.260,5182
ablation,abl_nocoop,O_1000_08,2,1.960,5187
ablation,abl_nocoop,O_1000_08,2,2.300,5188
ablation,abl_nocoop,O_1000_08,2,2.650,5189
ablation,abl_nocoop,O_1000_08,2,4.380,5190
ablation,abl_nocoop,O_1000_08,2,6.810,5191
ablation,abl_nocoop,O_1000_08,3,0.460,4950
