experiment,variant,instance,seed,value,weight,capacity,time_to_best_s,wall_s,kernel_s,iterations,walkers,budget_s,config_hash
campaign,default,O_500_01,1,2626,1500,1500,1.220,121.208,86.118,894000,1024,120,1c18d0fb12
campaign,default,O_500_01,2,2626,1500,1500,0.620,120.522,82.432,858000,1024,120,1c18d0fb12
campaign,default,O_500_01,3,2626,1500,1500,0.600,120.343,95.372,998000,1024,120,1c18d0fb12
campaign,default,O_500_01,4,2626,1500,1500,0.610,120.432,79.910,804000,1024,120,1c18d0fb12
campaign,default,O_500_01,5,2626,1500,1500,0.580,120.461,95.978,1014000,1024,120,1c18d0fb12
campaign,default,O_500_01,6,2626,1500,1500,0.580,120.462,97.016,1040000,1024,120,1c18d0fb12
campaign,default,O_500_01,7,2626,1500,1500,0.930,120.437,82.662,842000,1024,120,1c18d0fb12
campaign,default,O_500_01,8,2626,1500,1500,0.890,120.401,95.604,1018000,1024,120,1c18d0fb12
campaign,default,O_500_01,9,2626,1500,1500,0.570,120.451,96.102,1030000,1024,120,1c18d0fb12
campaign,default,O_500_01,10,2626,1500,1500,0.920,120.445,96.102,1012000,1024,120,1c18d0fb12
campaign,default,O_500_02,1,2660,1500,1500,0.610,120.340,83.143,868000,1024,120,1c18d0fb12
campaign,default,O_500_02,2,2660,1500,1500,0.600,120.374,83.087,868000,1024,120,1c18d0fb12
campaign,default,O_500_02,3,2660,1500,1500,0.610,120.330,95.516,1000000,1024,120,1c18d0fb12
campaign,default,O_500_02,4,2660,1500,1500,0.620,120.490,81.785,856000,1024,120,1c18d0fb12
campaign,default,O_500_02,5,2660,1500,1500,0.590,120.447,96.145,1010000,1024,120,1c18d0fb12
campaign,default,O_500_02,6,2660,1500,1500,0.580,120.447,97.670,1050000,1024,120,1c18d0fb12
campaign,default,O_500_02,7,2660,1500,1500,0.600,120.324,85.848,862000,1024,120,1c18d0fb12
campaign,default,O_500_02,8,2660,1500,1500,0.590,120.338,97.532,1042000,1024,120,1c18d0fb12
campaign,default,O_500_02,9,2660,1500,1500,0.580,120.420,96.844,1040000,1024,120,1c18d0fb12
campaign,default,O_500_02,10,2660,1500,1500,0.900,120.326,96.534,1016000,1024,120,1c18d0fb12
campaign,default,O_500_03,1,2516,1500,1500,0.950,120.466,75.589,750000,1024,120,1c18d0fb12
campaign,default,O_500_03,2,2516,1500,1500,0.950,120.410,82.293,832000,1024,120,1c18d0fb12
campaign,default,O_500_03,3,2516,1500,1500,1.250,120.422,94.857,964000,1024,120,1c18d0fb12
campaign,default,O_500_03,4,2516,1500,1500,0.940,120.329,81.058,830000,1024,120,1c18d0fb12
campaign,default,O_500_03,5,2516,1500,1500,1.210,120.494,96.247,954000,1024,120,1c18d0fb12
campaign,default,O_500_03,6,2516,1500,1500,0.900,120.361,96.657,1010000,1024,120,1c18d0fb12
campaign,default,O_500_03,7,2516,1500,1500,0.910,120.450,81.737,838000,1024,120,1c18d0fb12
campaign,default,O_500_03,8,2516,1500,1500,0.590,120.330,95.524,998000,1024,120,1c18d0fb12
campaign,default,O_500_03,9,2516,1500,1500,0.890,120.350,96.188,1004000,1024,120,1c18d0fb12
campaign,default,O_500_03,10,2516,1500,1500,1.170,120.338,95.755,980000,1024,120,1c18d0fb12
campaign,default,O_500_04,1,2556,1500,1500,0.590,120.426,79.683,832000,1024,120,1c18d0fb12
campaign,default,O_500_04,2,2556,1500,1500,0.970,120.503,82.595,852000,1024,120,1c18d0fb12
campaign,default,O_500_04,3,2556,1500,1500,0.620,120.384,95.239,992000,1024,120,1c18d0fb12
campaign,default,O_500_04,4,2556,1500,1500,0.610,120.323,81.862,842000,1024,120,1c18d0fb12
campaign,default,O_500_04,5,2556,1500,1500,0.590,120.401,95.860,1004000,1024,120,1c18d0fb12
campaign,default,O_500_04,6,2556,1500,1500,0.590,120.410,97.083,1030000,1024,120,1c18d0fb12
