instance,set,n,pairs,capacity,reference_value,proven_optimum,runs,best,mean,sd,runs_at_best,runs_at_or_above_reference,best_minus_reference,status,witness_seed,mean_time_to_best_s
O_500_01,O,500,3000,1500,2626,1,10,2626,2626.0000,0.0000,10,10,0,equal,1,0.752
O_500_02,O,500,3000,1500,2660,1,10,2660,2660.0000,0.0000,10,10,0,equal,1,0.628
O_500_03,O,500,3000,1500,2516,1,10,2516,2516.0000,0.0000,10,10,0,equal,1,0.976
O_500_04,O,500,3000,1500,2556,1,10,2556,2556.0000,0.0000,10,10,0,equal,1,0.766
O_500_05,O,500,3000,1500,2625,1,10,2625,2625.0000,0.0000,10,10,0,equal,1,0.598
O_500_06,O,500,3000,1500,2615,1,10,2615,2615.0000,0.0000,10,10,0,equal,1,0.593
O_500_07,O,500,3000,1500,2627,1,10,2627,2627.0000,0.0000,10,10,0,equal,1,0.589
O_500_08,O,500,3000,1500,2556,1,10,2556,2556.0000,0.0000,10,10,0,equal,1,0.595
O_500_09,O,500,3000,1500,2613,1,10,2613,2613.0000,0.0000,10,10,0,equal,1,0.614
O_500_10,O,500,3000,1500,2558,1,10,2558,2558.0000,0.0000,10,10,0,equal,1,0.758
O_700_01,O,700,4200,2100,3589,1,10,3589,3589.0000,0.0000,10,10,0,equal,1,1.227
O_700_02,O,700,4200,2100,3424,0,10,3424,3424.0000,0.0000,10,10,0,equal,1,1.303
O_700_03,O,700,4200,2100,3679,1,10,3679,3679.0000,0.0000,10,10,0,equal,1,1.154
O_700_04,O,700,4200,2100,3664,1,10,3664,3664.0000,0.0000,10,10,0,equal,1,1.113
O_700_05,O,700,4200,2100,3647,1,10,3647,3647.0000,0.0000,10,10,0,equal,1,1.131
O_700_06,O,700,4200,2100,3596,1,10,3596,3596.0000,0.0000,10,10,0,equal,1,1.487
O_700_07,O,700,4200,2100,3542,1,10,3542,3542.0000,0.0000,10,10,0,equal,1,1.056
O_700_08,O,700,4200,2100,3619,1,10,3619,3619.0000,0.0000,10,10,0,equal,1,1.833
O_700_09,O,700,4200,2100,3553,0,10,3553,3553.0000,0.0000,10,10,0,equal,1,1.376
O_700_10,O,700,4200,2100,3652,1,10,3652,3652.0000,0.0000,10,10,0,equal,1,1.526
O_800_01,O,800,4800,2400,4184,0,10,4184,4184.0000,0.0000,10,10,0,equal,1,1.471
O_800_02,O,800,4800,2400,4065,0,10,4065,4065.0000,0.0000,10,10,0,equal,1,1.903
O_800_03,O,800,4800,2400,4109,0,10,4107,4107.0000,0.0000,10,0,-2,below,1,2.308
O_800_04,O,800,4800,2400,4057,0,10,4056,4056.0000,0.0000,10,0,-1,below,1,2.022
O_800_05,O,800,4800,2400,4088,0,10,4088,4088.0000,0.0000,10,10,0,equal,1,2.581
O_800_06,O,800,4800,2400,4249,0,10,4249,4249.0000,0.0000,10,10,0,equal,1,1.503
O_800_07,O,800,4800,2400,4128,0,10,4128,4128.0000,0.0000,10,10,0,equal,1,8.417
O_800_08,O,800,4800,2400,4063,1,10,4063,4063.0000,0.0000,10,10,0,equal,1,1.507
O_800_09,O,800,4800,2400,4082,0,10,4080,4080.0000,0.0000,10,0,-2,below,1,1.824
O_800_10,O,800,4800,2400,4131,0,10,4131,4131.0000,0.0000,10,10,0,equal,1,1.714
O_1000_01,O,1000,6000,3000,4940,0,10,4940,4940.0000,0.0000,10,10,0,equal,1,2.522
O_1000_02,O,1000,6000,3000,4994,0,10,4995,4995.0000,0.0000,10,10,1,improved,1,6.593
O_1000_03,O,1000,6000,3000,5178,0,10,5178,5178.0000,0.0000,10,10,0,equal,1,4.157
O_1000_04,O,1000,6000,3000,5144,0,10,5147,5147.0000,0.0000,10,10,3,improved,1,3.156
O_1000_05,O,1000,6000,3000,5138,0,10,5136,5136.0000,0.0000,10,0,-2,below,1,1.941
O_1000_06,O,1000,6000,3000,5083,0,10,5083,5083.0000,0.0000,10,10,0,equal,1,2.712
O_1000_07,O,1000,6000,3000,5121,0,10,5121,5121.0000,0.0000,10,10,0,equal,1,2.057
O_1000_08,O,1000,6000,3000,5193,0,10,5191,5191.0000,0.0000,10,0,-2,below,1,2.347
