experiment,variant,instance,seed,time_s,value
campaign,default,O_500_01,1,0.410,2464
campaign,default,O_500_01,1,0.860,2624
campaign,default,O_500_01,1,1.220,2626
campaign,default,O_500_01,2,0.330,2468
campaign,default,O_500_01,2,0.620,2626
campaign,default,O_500_01,3,0.310,2463
campaign,default,O_500_01,3,0.600,2626
campaign,default,O_500_01,4,0.320,2474
campaign,default,O_500_01,4,0.610,2626
campaign,default,O_500_01,5,0.290,2464
campaign,default,O_500_01,5,0.580,2626
campaign,default,O_500_01,6,0.300,2470
campaign,default,O_500_01,6,0.580,2626
campaign,default,O_500_02,1,0.320,2521
campaign,default,O_500_02,1,0.610,2660
campaign,default,O_500_02,2,0.310,2519
campaign,default,O_500_02,2,0.600,2660
campaign,default,O_500_02,3,0.320,2523
campaign,default,O_500_02,3,0.610,2660
campaign,default,O_500_02,4,0.310,2527
campaign,default,O_500_02,4,0.620,2660
campaign,default,O_500_02,5,0.300,2532
campaign,default,O_500_02,5,0.590,2660
campaign,default,O_500_02,6,0.290,2520
campaign,default,O_500_02,6,0.580,2660
campaign,default,O_500_03,1,0.320,2397
campaign,default,O_500_03,1,0.610,2512
campaign,default,O_500_03,1,0.950,2516
campaign,default,O_500_03,2,0.320,2411
campaign,default,O_500_03,2,0.620,2507
campaign,default,O_500_03,2,0.950,2516
campaign,default,O_500_03,3,0.360,2411
campaign,default,O_500_03,3,0.650,2513
campaign,default,O_500_03,3,1.000,2515
campaign,default,O_500_03,3,1.250,2516
campaign,default,O_500_03,4,0.310,2397
campaign,default,O_500_03,4,0.600,2512
campaign,default,O_500_03,4,0.940,2516
campaign,default,O_500_03,5,0.300,2398
campaign,default,O_500_03,5,0.600,2509
campaign,default,O_500_03,5,0.950,2515
campaign,default,O_500_03,5,1.210,2516
campaign,default,O_500_03,6,0.280,2396
campaign,default,O_500_03,6,0.570,2508
campaign,default,O_500_03,6,0.900,2516
campaign,default,O_500_04,1,0.300,2407
campaign,default,O_500_04,1,0.590,2556
campaign,default,O_500_04,2,0.330,2407
campaign,default,O_500_04,2,0.630,2553
campaign,default,O_500_04,2,0.970,2556
campaign,default,O_500_04,3,0.320,2394
campaign,default,O_500_04,3,0.620,2556
campaign,default,O_500_04,4,0.310,2409
campaign,default,O_500_04,4,0.610,2556
campaign,default,O_500_04,5,0.290,2389
campaign,default,O_500_04,5,0.590,2556
campaign,default,O_500_04,6,0.300,2404
campaign,default,O_500_04,6,0.590,2556
campaign,default,O_500_05,1,0.310,2538
campaign,default,O_500_05,1,0.600,2625
campaign,default,O_500_05,2,0.320,2539
campaign,default,O_500_05,2,0.610,2625
campaign,default,O_500_05,3,0.340,2538
campaign,default,O_500_05,3,0.640,2625
campaign,default,O_500_05,4,0.300,2538
campaign,default,O_500_05,4,0.590,2625
campaign,default,O_500_05,5,0.300,2542
campaign,default,O_500_05,5,0.590,2625
campaign,default,O_500_05,6,0.310,2534
campaign,default,O_500_05,6,0.600,2625
campaign,default,O_500_06,1,0.300,2498
campaign,default,O_500_06,1,0.600,2615
campaign,default,O_500_06,2,0.310,2492
campaign,default,O_500_06,2,0.600,2615
campaign,default,O_500_06,3,0.330,2501
campaign,default,O_500_06,3,0.620,2615
campaign,default,O_500_06,4,0.300,2499
campaign,default,O_500_06,4,0.600,2615
campaign,default,O_500_06,5,0.290,2495
campaign,default,O_500_06,5,0.580,2615
campaign,default,O_500_06,6,0.290,2490
campaign,default,O_500_06,6,0.580,2615
campaign,default,O_500_07,1,0.310,2537
campaign,default,O_500_07,1,0.600,2627
campaign,default,O_500_07,2,0.310,2537
campaign,default,O_500_07,2,0.600,2627
campaign,default,O_500_07,3,0.330,2537
campaign,default,O_500_07,3,0.620,2627
campaign,default,O_500_07,4,0.300,2539
campaign,default,O_500_07,4,0.580,2627
campaign,default,O_500_07,5,0.300,2540
campaign,default,O_500_07,5,0.590,2627
campaign,default,O_500_07,6,0.290,2539
campaign,default,O_500_07,6,0.580,2627
campaign,default,O_500_08,1,0.300,2450
campaign,default,O_500_08,1,0.590,2556
campaign,default,O_500_08,2,0.310,2438
campaign,default,O_500_08,2,0.610,2556
campaign,default,O_500_08,3,0.350,2450
campaign,default,O_500_08,3,0.650,2556
campaign,default,O_500_08,4,0.330,2440
campaign,default,O_500_08,4,0.650,2556
campaign,default,O_500_08,5,0.290,2450
campaign,default,O_500_08,5,0.570,2556
campaign,default,O_500_08,6,0.290,2448
campaign,default,O_500_08,6,0.580,2556
campaign,default,O_500_09,1,0.310,2494
campaign,default,O_500_09,1,0.610,2613
campaign,default,O_500_09,2,0.320,2505
campaign,default,O_500_09,2,0.620,2613
campaign,default,O_500_09,3,0.350,2496
campaign,default,O_500_09,3,0.660,2613
campaign,default,O_500_09,4,0.320,2495
