instance,radius,center_value,verdict,seconds,time_limit_s,solver_status
LK_800_08,4,4158,certified,68.7,900,2
LK_800_08,6,4158,certified,44.4,900,2
LK_800_08,8,4158,certified,61.2,1800,2
LK_800_08,10,4158,certified,104.1,1800,2
LK_800_08,12,4158,certified,245.2,1800,2
LK_800_08,14,4158,certified,303.0,3600,2
LK_800_08,16,4158,certified,824.1,3600,2
LK_800_10,6,4285,certified,68.0,1800,2
LK_800_10,8,4285,certified,69.9,1800,2
LK_800_10,10,4285,certified,128.4,1800,2
LK_800_10,12,4285,certified,196.2,1800,2
LK_800_10,14,4285,certified,320.2,3600,2
LK_800_10,16,4285,certified,815.1,3600,2
LK_1000_04,6,5432,certified,82.6,1800,2
LK_1000_04,8,5432,certified,154.1,1800,2
LK_1000_04,10,5432,certified,263.8,1800,2
LK_1000_04,12,5432,certified,827.3,1800,2
LK_1000_04,14,5432,certified,1601.6,3600,2
LK_1000_07,6,5273,certified,78.5,1800,2
LK_1000_07,8,5273,certified,224.4,1800,2
LK_1000_07,10,5273,certified,311.4,1800,2
LK_1000_07,12,5273,certified,603.9,1800,2
LK_1000_07,14,5273,certified,2068.6,3600,2
MF_800_09,6,3604,certified,84.3,1800,2
MF_800_09,8,3604,certified,58.0,1800,2
MF_800_09,10,3604,certified,95.1,1800,2
MF_800_09,12,3604,certified,647.5,1800,2
MF_800_09,14,3604,certified,711.8,3600,2
MF_1000_06,6,4599,certified,152.4,1800,2
MF_1000_06,8,4599,certified,137.1,1800,2
MF_1000_06,10,4599,certified,114.2,1800,2
MF_1000_06,12,4599,certified,1001.5,1800,2
MF_1000_06,14,4599,certified,2184.5,3600,2
