experiment,variant,instance,seed,value,weight,capacity,time_to_best_s,wall_s,kernel_s,iterations,walkers,budget_s,config_hash
design_study,v6_pr,LK_800_08,1,4158,2948,4000,99.540,120.406,61.139,364000,1024,120,43e24d0cfc
design_study,v6_pr,LK_800_10,1,4285,3104,4000,5.710,120.692,63.613,388000,1024,120,43e24d0cfc
design_study,v6_pr,LK_1000_04,1,5432,3952,5000,21.600,120.733,59.696,350000,1024,120,43e24d0cfc
design_study,v6_pr,LK_1000_07,1,5273,3779,5000,92.440,120.514,56.567,316000,1024,120,43e24d0cfc
design_study,v6_pr,MF_800_09,1,3604,2397,2400,1.700,120.762,57.634,300000,1024,120,43e24d0cfc
design_study,v6_pr,MF_1000_06,1,4599,3000,3000,3.710,120.575,57.377,280000,1024,120,43e24d0cfc
design_study,v6_gen,LK_800_08,1,4158,2976,4000,23.420,120.541,107.330,648000,1024,120,54610e3198
design_study,v6_gen,LK_800_10,1,4285,3071,4000,3.420,120.679,105.841,644000,1024,120,54610e3198
design_study,v6_gen,LK_1000_04,1,5432,3971,5000,20.720,120.419,104.710,612000,1024,120,54610e3198
design_study,v6_gen,LK_1000_07,1,5273,3743,5000,4.470,120.708,105.637,588000,1024,120,54610e3198
design_study,v6_gen,MF_800_09,1,3604,2397,2400,1.400,120.744,95.623,502000,1024,120,54610e3198
design_study,v6_gen,MF_1000_06,1,4599,2999,3000,2.130,120.598,94.277,458000,1024,120,54610e3198
design_study,v6_prgen,LK_800_08,1,4158,2965,4000,37.140,120.708,66.998,402000,1024,120,c94c19dfaf
design_study,v6_prgen,LK_800_10,1,4285,3104,4000,5.770,120.557,69.673,424000,1024,120,c94c19dfaf
design_study,v6_prgen,LK_1000_04,1,5432,3956,5000,38.180,120.481,69.615,408000,1024,120,c94c19dfaf
design_study,v6_prgen,LK_1000_07,1,5273,3786,5000,102.010,120.597,62.147,348000,1024,120,c94c19dfaf
design_study,v6_prgen,MF_800_09,1,3604,2397,2400,1.720,120.492,66.735,350000,1024,120,c94c19dfaf
design_study,v6_prgen,MF_1000_06,1,4599,3000,3000,3.890,120.581,65.807,320000,1024,120,c94c19dfaf
design_study,v6_nocoop600,LK_800_08,1,4158,2994,4000,18.830,600.494,595.494,3596000,1024,600,edd138612f
design_study,v6_nocoop600,LK_800_10,1,4285,3055,4000,38.700,600.463,595.491,3610000,1024,600,edd138612f
design_study,v6_nocoop600,LK_1000_04,1,5432,3981,5000,81.530,600.484,595.553,3476000,1024,600,edd138612f
design_study,v6_nocoop600,LK_1000_07,1,5273,3802,5000,77.450,600.678,595.958,3320000,1024,600,edd138612f
design_study,v6_nocoop600,MF_800_09,1,3604,2396,2400,4.430,600.763,596.298,3128000,1024,600,edd138612f
design_study,v6_nocoop600,MF_1000_06,1,4599,2999,3000,2.260,600.741,596.601,2888000,1024,600,edd138612f
design_study,v7_swap0,LK_800_08,1,4158,2940,4000,3.900,120.444,113.675,5268000,1024,120,7cb28a8273
design_study,v7_swap0,LK_800_10,1,4285,3124,4000,20.920,120.391,113.470,5446000,1024,120,7cb28a8273
design_study,v7_swap0,LK_1000_04,1,5432,3977,5000,28.480,120.446,113.835,5072000,1024,120,7cb28a8273
design_study,v7_swap0,LK_1000_07,1,5273,3813,5000,27.430,120.453,113.856,5088000,1024,120,7cb28a8273
design_study,v7_swap0,MF_800_09,1,3604,2398,2400,2.830,120.454,113.895,5176000,1024,120,7cb28a8273
design_study,v7_swap0,MF_1000_06,1,4599,3000,3000,2.280,120.426,114.107,4936000,1024,120,7cb28a8273
design_study,v7_swap50,LK_800_08,1,4158,2998,4000,11.990,120.436,118.233,1164000,1024,120,c17d2eed86
design_study,v7_swap50,LK_800_10,1,4285,3107,4000,16.050,120.579,118.352,1170000,1024,120,c17d2eed86
design_study,v7_swap50,LK_1000_04,1,5431,3963,5000,19.150,120.452,118.259,1110000,1024,120,c17d2eed86
design_study,v7_swap50,LK_1000_07,1,5273,3813,5000,43.070,120.631,118.481,1066000,1024,120,c17d2eed86
