experiment,variant,instance,seed,time_s,value
design_study,v6_pr,LK_800_08,1,0.430,3939
design_study,v6_pr,LK_800_08,1,0.880,4129
design_study,v6_pr,LK_800_08,1,1.480,4145
design_study,v6_pr,LK_800_08,1,2.100,4146
design_study,v6_pr,LK_800_08,1,2.760,4151
design_study,v6_pr,LK_800_08,1,4.700,4156
design_study,v6_pr,LK_800_08,1,97.540,4157
design_study,v6_pr,LK_800_08,1,99.540,4158
design_study,v6_pr,LK_800_10,1,0.430,4034
design_study,v6_pr,LK_800_10,1,0.880,4251
design_study,v6_pr,LK_800_10,1,1.430,4260
design_study,v6_pr,LK_800_10,1,2.020,4271
design_study,v6_pr,LK_800_10,1,2.620,4276
design_study,v6_pr,LK_800_10,1,3.240,4279
design_study,v6_pr,LK_800_10,1,3.850,4283
design_study,v6_pr,LK_800_10,1,5.710,4285
design_study,v6_pr,LK_1000_04,1,0.500,5129
design_study,v6_pr,LK_1000_04,1,0.980,5395
design_study,v6_pr,LK_1000_04,1,1.790,5428
design_study,v6_pr,LK_1000_04,1,2.480,5431
design_study,v6_pr,LK_1000_04,1,21.600,5432
design_study,v6_pr,LK_1000_07,1,0.490,4992
design_study,v6_pr,LK_1000_07,1,0.970,5208
design_study,v6_pr,LK_1000_07,1,1.840,5246
design_study,v6_pr,LK_1000_07,1,2.590,5255
design_study,v6_pr,LK_1000_07,1,3.370,5261
design_study,v6_pr,LK_1000_07,1,4.140,5268
design_study,v6_pr,LK_1000_07,1,4.880,5269
design_study,v6_pr,LK_1000_07,1,6.400,5272
design_study,v6_pr,LK_1000_07,1,92.440,5273
design_study,v6_pr,MF_800_09,1,0.370,3427
design_study,v6_pr,MF_800_09,1,0.880,3597
design_study,v6_pr,MF_800_09,1,1.700,3604
design_study,v6_pr,MF_1000_06,1,0.450,4358
design_study,v6_pr,MF_1000_06,1,1.000,4587
design_study,v6_pr,MF_1000_06,1,1.990,4596
design_study,v6_pr,MF_1000_06,1,2.860,4598
design_study,v6_pr,MF_1000_06,1,3.710,4599
design_study,v6_gen,LK_800_08,1,0.420,3939
design_study,v6_gen,LK_800_08,1,0.880,4129
design_study,v6_gen,LK_800_08,1,1.290,4145
design_study,v6_gen,LK_800_08,1,1.980,4150
design_study,v6_gen,LK_800_08,1,3.390,4151
design_study,v6_gen,LK_800_08,1,3.740,4153
design_study,v6_gen,LK_800_08,1,4.800,4154
design_study,v6_gen,LK_800_08,1,6.910,4156
design_study,v6_gen,LK_800_08,1,20.280,4157
design_study,v6_gen,LK_800_08,1,23.420,4158
design_study,v6_gen,LK_800_10,1,0.440,4034
design_study,v6_gen,LK_800_10,1,0.900,4251
design_study,v6_gen,LK_800_10,1,1.310,4260
design_study,v6_gen,LK_800_10,1,1.660,4267
design_study,v6_gen,LK_800_10,1,2.010,4277
design_study,v6_gen,LK_800_10,1,2.360,4278
design_study,v6_gen,LK_800_10,1,2.710,4281
design_study,v6_gen,LK_800_10,1,3.070,4283
design_study,v6_gen,LK_800_10,1,3.420,4285
design_study,v6_gen,LK_1000_04,1,0.490,5129
design_study,v6_gen,LK_1000_04,1,0.960,5395
design_study,v6_gen,LK_1000_04,1,1.400,5427
design_study,v6_gen,LK_1000_04,1,1.760,5431
design_study,v6_gen,LK_1000_04,1,20.720,5432
design_study,v6_gen,LK_1000_07,1,0.490,4992
design_study,v6_gen,LK_1000_07,1,0.980,5208
design_study,v6_gen,LK_1000_07,1,1.430,5242
design_study,v6_gen,LK_1000_07,1,1.810,5260
design_study,v6_gen,LK_1000_07,1,2.190,5267
design_study,v6_gen,LK_1000_07,1,2.950,5269
design_study,v6_gen,LK_1000_07,1,4.470,5273
