instance,set,n,pairs,capacity,file,sha256
O_500_01,O,500,3000,1500,kpf_soco_instances/O/500/01_id_101_objs_500_size_1500_sets_3000_maxNumConflicts_2_maxCost_15_seme_2097.txt,fc562755a7ab087e74f40552f4ff02e63d718e8d93c74308d7ca519ac291e70c
O_500_02,O,500,3000,1500,kpf_soco_instances/O/500/02_id_102_objs_500_size_1500_sets_3000_maxNumConflicts_2_maxCost_15_seme_1518.txt,84d9d19ac1628d18a4c5a66caca30eaa08a2941a3c4a24497f75b370ea3e98a1
O_500_03,O,500,3000,1500,kpf_soco_instances/O/500/03_id_103_objs_500_size_1500_sets_3000_maxNumConflicts_2_maxCost_15_seme_1645.txt,6eed735de89d748af1b85ed902e1bf4129e23e7503429dd4944c8a18bf97187f
O_500_04,O,500,3000,1500,kpf_soco_instances/O/500/04_id_104_objs_500_size_1500_sets_3000_maxNumConflicts_2_maxCost_15_seme_1328.txt,eff99496e0b8093dbdae074c01e7759d9d0d2d2cc35db8f0613f633f34acf64c
O_500_05,O,500,3000,1500,kpf_soco_instances/O/500/05_id_105_objs_500_size_1500_sets_3000_maxNumConflicts_2_maxCost_15_seme_1075.txt,6cf437fe73d1a0468b383f978b426585c8fcbf5cba1770e86433dd1e3d071708
O_500_06,O,500,3000,1500,kpf_soco_instances/O/500/06_id_201_objs_500_size_1500_sets_3000_maxNumConflicts_2_maxCost_15_seme_1815.txt,02b6212a2c0cf433302d0a78ebd90d0584455157c1e5662799dd5af438018c7a
O_500_07,O,500,3000,1500,kpf_soco_instances/O/500/07_id_202_objs_500_size_1500_sets_3000_maxNumConflicts_2_maxCost_15_seme_2303.txt,57242a7de92cc1bca39cd9828bbc3e7a36e95b6ab10ddb7c7028ed2404fde957
O_500_08,O,500,3000,1500,kpf_soco_instances/O/500/08_id_203_objs_500_size_1500_sets_3000_maxNumConflicts_2_maxCost_15_seme_2079.txt,085622267f10412b96a0735946845155cd56716d0f2bd9cd9c82125c76d98bf7
O_500_09,O,500,3000,1500,kpf_soco_instances/O/500/09_id_204_objs_500_size_1500_sets_3000_maxNumConflicts_2_maxCost_15_seme_2507.txt,67bcd0f97cb8dc4152414cab6f500b79d8e1695bff60073a150b90e52362cdf2
O_500_10,O,500,3000,1500,kpf_soco_instances/O/500/10_id_205_objs_500_size_1500_sets_3000_maxNumConflicts_2_maxCost_15_seme_2091.txt,1aea492d8e1a13c11686343a9ff3267acca2d48a097fa0cf6db4eaf8f909d309
O_700_01,O,700,4200,2100,kpf_soco_instances/O/700/01_id_106_objs_700_size_2100_sets_4200_maxNumConflicts_2_maxCost_15_seme_1107.txt,a330f5be838c510a3686ee79d0a73e583e80a5ce4c69e09f8021d5784b779209
O_700_02,O,700,4200,2100,kpf_soco_instances/O/700/02_id_107_objs_700_size_2100_sets_4200_maxNumConflicts_2_maxCost_15_seme_2739.txt,5d84c6256ef4b0110dfb2a718f1d78bb9418b4bd06c2c3284681bb602d95bd5e
O_700_03,O,700,4200,2100,kpf_soco_instances/O/700/03_id_108_objs_700_size_2100_sets_4200_maxNumConflicts_2_maxCost_15_seme_1260.txt,86a80f7e5dcff33db08696482943761e90d95a7737963e574c2ea51d151dd8c4
O_700_04,O,700,4200,2100,kpf_soco_instances/O/700/04_id_109_objs_700_size_2100_sets_4200_maxNumConflicts_2_maxCost_15_seme_2846.txt,11ade2a24ca6f0c447aed50c262f29905d05244107912c046552e856daa90964
O_700_05,O,700,4200,2100,kpf_soco_instances/O/700/05_id_110_objs_700_size_2100_sets_4200_maxNumConflicts_2_maxCost_15_seme_1401.txt,c06ffbda40c96e812161fa3ac50da2687dd1e5d57bc460c0f5a659d78bf65fe9
O_700_06,O,700,4200,2100,kpf_soco_instances/O/700/06_id_206_objs_700_size_2100_sets_4200_maxNumConflicts_2_maxCost_15_seme_1031.txt,31dbf310264278f6648d089e2be8c558463aeead42ea03f6e7c9d1f805be7733
O_700_07,O,700,4200,2100,kpf_soco_instances/O/700/07_id_207_objs_700_size_2100_sets_4200_maxNumConflicts_2_maxCost_15_seme_2702.txt,adca823a3d41e6b2d4be9294cfc1cfb983bf13c391e6ec750bce2c96d3aadb2f
O_700_08,O,700,4200,2100,kpf_soco_instances/O/700/08_id_208_objs_700_size_2100_sets_4200_maxNumConflicts_2_maxCost_15_seme_2385.txt,6a126ea389393fa4c72622e707de4f452005840e97aaa37d88758053f04c600e
O_700_09,O,700,4200,2100,kpf_soco_instances/O/700/09_id_209_objs_700_size_2100_sets_4200_maxNumConflicts_2_maxCost_15_seme_2586.txt,2c01786a8e92247f5622e1f246b7066884eb61a242a3f0154dab84176559efb0
O_700_10,O,700,4200,2100,kpf_soco_instances/O/700/10_id_210_objs_700_size_2100_sets_4200_maxNumConflicts_2_maxCost_15_seme_1238.txt,885d15468613c630d2675dffedf445de4955cf1a3668e49e679aa069ba3565fe
O_800_01,O,800,4800,2400,kpf_soco_instances/O/800/01_id_111_objs_800_size_2400_sets_4800_maxNumConflicts_2_maxCost_15_seme_1719.txt,d72881be6683759a1e5fef3bf2ad21757ea98e66197eae28f8bbdda9784dda67
O_800_02,O,800,4800,2400,kpf_soco_instances/O/800/02_id_112_objs_800_size_2400_sets_4800_maxNumConflicts_2_maxCost_15_seme_1579.txt,1730eb1322446f01f23cba0da27c147f82e83755beb5b7e4e3f8758825a9aeef
O_800_03,O,800,4800,2400,kpf_soco_instances/O/800/03_id_113_objs_800_size_2400_sets_4800_maxNumConflicts_2_maxCost_15_seme_1643.txt,3141ecd0da06bed39ae3a58463194714a40f005d21cdbc3e7b7617d02a8ad580
O_800_04,O,800,4800,2400,kpf_soco_instances/O/800/04_id_114_objs_800_size_2400_sets_4800_maxNumConflicts_2_maxCost_15_seme_1841.txt,befc66894342a38e68c4de233f14d09a854081d682571052753845bb567f6ea2
O_800_05,O,800,4800,2400,kpf_soco_instances/O/800/05_id_115_objs_800_size_2400_sets_4800_maxNumConflicts_2_maxCost_15_seme_1084.txt,d7c1ff8338149d3c7b09ff7e895119281a5b73c02ea6d4047c3a805d36554a9e
O_800_06,O,800,4800,2400,kpf_soco_instances/O/800/06_id_211_objs_800_size_2400_sets_4800_maxNumConflicts_2_maxCost_15_seme_2356.txt,4b1ba8e2365ff04a8a413efbcc023171e5816881ff17bde12f7edf29897b5e7d
O_800_07,O,800,4800,2400,kpf_soco_instances/O/800/07_id_212_objs_800_size_2400_sets_4800_maxNumConflicts_2_maxCost_15_seme_1857.txt,b98330741c034fb179b4ac6a927f314e603caed387285a73dff917b411c1e5b7
O_800_08,O,800,4800,2400,kpf_soco_instances/O/800/08_id_213_objs_800_size_2400_sets_4800_maxNumConflicts_2_maxCost_15_seme_2925.txt,3e5abc4def5b38fccbe89f2d5457b2eef5924209dc08e383a4d8739e9c154f6b
O_800_09,O,800,4800,2400,kpf_soco_instances/O/800/09_id_214_objs_800_size_2400_sets_4800_maxNumConflicts_2_maxCost_15_seme_2522.txt,e880a2bde801954666c1ea2daf7086b0dcc86fa5c2fa9ed6e73298616d0fdb2f
O_800_10,O,800,4800,2400,kpf_soco_instances/O/800/10_id_215_objs_800_size_2400_sets_4800_maxNumConflicts_2_maxCost_15_seme_2238.txt,0c18dfd77ffda8093b0d4a5e1c938b340e7c91e8aa06cdce2031c8447c98597c
O_1000_01,O,1000,6000,3000,kpf_soco_instances/O/1000/01_id_116_objs_1000_size_3000_sets_6000_maxNumConflicts_2_maxCost_15_seme_2558.txt,c5d1ea1790d51f80eda54459389227bc693ad4856760f569a738293c6512d487
O_1000_02,O,1000,6000,3000,kpf_soco_instances/O/1000/02_id_117_objs_1000_size_3000_sets_6000_maxNumConflicts_2_maxCost_15_seme_2513.txt,007f38bc4c341645fcebdf6aa44661f4df8c332fbeab1dd5d6afd7d104b5ca93
O_1000_03,O,1000,6000,3000,kpf_soco_instances/O/1000/03_id_118_objs_1000_size_3000_sets_6000_maxNumConflicts_2_maxCost_15_seme_2170.txt,c4126ecba9c898121bb311147f135abda0065e7444d65a8b8fd7996a135182d6
O_1000_04,O,1000,6000,3000,kpf_soco_instances/O/1000/04_id_119_objs_1000_size_3000_sets_6000_maxNumConflicts_2_maxCost_15_seme_2994.txt,9256c2cecc128b0adf97f2d19cfc7a6e1e0a5d1153e598fdd13ecf7ecf3cfd3f
