experiment,variant,instance,seed,value,weight,capacity,time_to_best_s,wall_s,kernel_s,iterations,walkers,budget_s,config_hash
late_ablation,late_norestart,O_1000_09,1,5115,3000,3000,4.630,120.404,87.997,512000,1024,120,2cfcd5baa1
late_ablation,late_norestart,O_1000_09,2,5115,3000,3000,38.140,120.591,88.995,514000,1024,120,2cfcd5baa1
late_ablation,late_norestart,O_1000_09,3,5115,3000,3000,8.340,120.347,88.791,514000,1024,120,2cfcd5baa1
late_ablation,late_norestart,O_1000_09,4,5115,3000,3000,7.790,120.642,88.973,520000,1024,120,2cfcd5baa1
late_ablation,late_norestart,O_1000_09,5,5115,3000,3000,2.710,120.367,88.939,516000,1024,120,2cfcd5baa1
late_ablation,late_norestart,O_1000_10,1,5181,3000,3000,2.870,120.428,88.444,516000,1024,120,2cfcd5baa1
late_ablation,late_norestart,O_1000_10,2,5181,3000,3000,5.510,120.335,88.911,520000,1024,120,2cfcd5baa1
late_ablation,late_norestart,O_1000_10,3,5181,3000,3000,17.920,120.646,88.841,520000,1024,120,2cfcd5baa1
late_ablation,late_norestart,O_1000_10,4,5181,3000,3000,10.580,120.348,88.413,518000,1024,120,2cfcd5baa1
late_ablation,late_norestart,O_1000_10,5,5181,3000,3000,10.550,120.425,88.789,520000,1024,120,2cfcd5baa1
late_ablation,late_norestart,LK_800_08,1,4158,2978,4000,45.520,120.330,113.366,694000,1024,120,2cfcd5baa1
late_ablation,late_norestart,LK_800_08,2,4158,2936,4000,5.130,120.488,113.568,688000,1024,120,2cfcd5baa1
late_ablation,late_norestart,LK_800_08,3,4158,2955,4000,4.690,120.398,113.410,686000,1024,120,2cfcd5baa1
late_ablation,late_norestart,LK_800_08,4,4158,2909,4000,3.610,120.460,113.621,688000,1024,120,2cfcd5baa1
late_ablation,late_norestart,LK_800_08,5,4158,2962,4000,3.290,120.490,113.749,684000,1024,120,2cfcd5baa1
late_ablation,late_norestart,LK_1000_02,1,5162,3744,5000,3.170,120.403,113.625,654000,1024,120,2cfcd5baa1
late_ablation,late_norestart,LK_1000_02,2,5165,3850,5000,5.360,120.473,113.692,656000,1024,120,2cfcd5baa1
late_ablation,late_norestart,LK_1000_02,3,5167,3752,5000,18.250,120.431,113.586,654000,1024,120,2cfcd5baa1
late_ablation,late_norestart,LK_1000_02,4,5162,3759,5000,3.200,120.607,113.913,654000,1024,120,2cfcd5baa1
late_ablation,late_norestart,LK_1000_02,5,5162,3763,5000,2.420,120.609,114.055,656000,1024,120,2cfcd5baa1
late_ablation,late_norestart,LK_1000_04,1,5432,3962,5000,2.390,120.541,113.641,680000,1024,120,2cfcd5baa1
late_ablation,late_norestart,LK_1000_04,2,5432,3952,5000,104.520,120.627,113.496,682000,1024,120,2cfcd5baa1
late_ablation,late_norestart,LK_1000_04,3,5432,3962,5000,19.510,120.610,113.809,682000,1024,120,2cfcd5baa1
late_ablation,late_norestart,LK_1000_04,4,5432,3952,5000,33.300,120.627,113.584,682000,1024,120,2cfcd5baa1
late_ablation,late_norestart,LK_1000_04,5,5432,3952,5000,12.490,120.418,113.573,682000,1024,120,2cfcd5baa1
late_ablation,late_norestart,LK_1000_07,1,5273,3768,5000,6.160,120.383,113.744,650000,1024,120,2cfcd5baa1
late_ablation,late_norestart,LK_1000_07,2,5273,3786,5000,45.120,120.513,113.748,648000,1024,120,2cfcd5baa1
