experiment,variant,instance,seed,time_s,value
late_ablation,late_norestart,O_1000_09,1,0.470,4869
late_ablation,late_norestart,O_1000_09,1,0.910,5099
late_ablation,late_norestart,O_1000_09,1,1.440,5108
late_ablation,late_norestart,O_1000_09,1,1.840,5110
late_ablation,late_norestart,O_1000_09,1,2.300,5112
late_ablation,late_norestart,O_1000_09,1,3.240,5114
late_ablation,late_norestart,O_1000_09,1,4.630,5115
late_ablation,late_norestart,O_1000_09,2,0.490,4859
late_ablation,late_norestart,O_1000_09,2,0.920,5095
late_ablation,late_norestart,O_1000_09,2,1.410,5111
late_ablation,late_norestart,O_1000_09,2,2.270,5112
late_ablation,late_norestart,O_1000_09,2,2.740,5114
late_ablation,late_norestart,O_1000_09,2,38.140,5115
late_ablation,late_norestart,O_1000_09,3,0.450,4853
late_ablation,late_norestart,O_1000_09,3,0.890,5099
late_ablation,late_norestart,O_1000_09,3,1.370,5107
late_ablation,late_norestart,O_1000_09,3,1.770,5114
late_ablation,late_norestart,O_1000_09,3,8.340,5115
late_ablation,late_norestart,O_1000_09,4,0.450,4851
late_ablation,late_norestart,O_1000_09,4,0.890,5104
late_ablation,late_norestart,O_1000_09,4,1.370,5108
late_ablation,late_norestart,O_1000_09,4,1.760,5110
late_ablation,late_norestart,O_1000_09,4,2.220,5111
late_ablation,late_norestart,O_1000_09,4,2.690,5112
late_ablation,late_norestart,O_1000_09,4,3.160,5114
late_ablation,late_norestart,O_1000_09,4,7.790,5115
late_ablation,late_norestart,O_1000_09,5,0.470,4849
late_ablation,late_norestart,O_1000_09,5,0.900,5101
late_ablation,late_norestart,O_1000_09,5,1.380,5110
late_ablation,late_norestart,O_1000_09,5,1.780,5111
late_ablation,late_norestart,O_1000_09,5,2.250,5114
late_ablation,late_norestart,O_1000_09,5,2.710,5115
late_ablation,late_norestart,O_1000_10,1,0.480,4935
late_ablation,late_norestart,O_1000_10,1,0.940,5167
late_ablation,late_norestart,O_1000_10,1,1.460,5179
late_ablation,late_norestart,O_1000_10,1,1.880,5180
late_ablation,late_norestart,O_1000_10,1,2.870,5181
late_ablation,late_norestart,O_1000_10,2,0.470,4971
late_ablation,late_norestart,O_1000_10,2,0.910,5165
late_ablation,late_norestart,O_1000_10,2,1.410,5176
late_ablation,late_norestart,O_1000_10,2,1.820,5178
late_ablation,late_norestart,O_1000_10,2,3.200,5180
late_ablation,late_norestart,O_1000_10,2,5.510,5181
late_ablation,late_norestart,O_1000_10,3,0.460,4928
late_ablation,late_norestart,O_1000_10,3,0.910,5162
late_ablation,late_norestart,O_1000_10,3,1.390,5176
late_ablation,late_norestart,O_1000_10,3,1.790,5179
late_ablation,late_norestart,O_1000_10,3,2.710,5180
late_ablation,late_norestart,O_1000_10,3,17.920,5181
late_ablation,late_norestart,O_1000_10,4,0.480,4939
late_ablation,late_norestart,O_1000_10,4,0.920,5167
late_ablation,late_norestart,O_1000_10,4,1.400,5175
late_ablation,late_norestart,O_1000_10,4,1.800,5177
late_ablation,late_norestart,O_1000_10,4,2.270,5178
late_ablation,late_norestart,O_1000_10,4,4.100,5180
late_ablation,late_norestart,O_1000_10,4,10.580,5181
late_ablation,late_norestart,O_1000_10,5,0.470,4932
late_ablation,late_norestart,O_1000_10,5,0.910,5167
late_ablation,late_norestart,O_1000_10,5,1.390,5178
late_ablation,late_norestart,O_1000_10,5,3.180,5180
late_ablation,late_norestart,O_1000_10,5,10.550,5181
late_ablation,late_norestart,LK_800_08,1,0.420,3926
late_ablation,late_norestart,LK_800_08,1,0.830,4132
late_ablation,late_norestart,LK_800_08,1,1.240,4144
late_ablation,late_norestart,LK_800_08,1,1.570,4148
late_ablation,late_norestart,LK_800_08,1,1.920,4151
late_ablation,late_norestart,LK_800_08,1,2.600,4154
late_ablation,late_norestart,LK_800_08,1,45.180,4155
late_ablation,late_norestart,LK_800_08,1,45.520,4158
late_ablation,late_norestart,LK_800_08,2,0.500,3958
late_ablation,late_norestart,LK_800_08,2,0.910,4140
late_ablation,late_norestart,LK_800_08,2,1.330,4145
