instance,set,n,reference_value,proven_optimum,source_groups,sources,cplex_3h,cplex_3h_cucss_study,carousel_greedy,ga_cg,ga_cg_cucss_study,best_known_before_2024,ilsvnd_published,mfss_published,rldcss_published,hdm_ilsvnd,ilsvnd_rerun_hdm_study,best_known_cucss_study,ilsvnd_rerun_cucss_study,mfss_rerun_cucss_study,rldcss_rerun_cucss_study,cucss,ilsvnd_published_avg,mfss_published_avg,rldcss_published_avg,cucss_avg,hesm_published
O_500_01,O,500,2626,1,CGMRHZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;hdm_ilsvnd;ilsvnd_rerun_cucss_study;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,2626,2626,2510,2568,2568,2626,2625,2626,2626,2626,2625,2626,2626,2626,2626,2626,2622.00,2626.00,2626.00,2626.00,2629
O_500_02,O,500,2660,1,CGIMRHZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;hdm_ilsvnd;ilsvnd_published;ilsvnd_rerun_cucss_study;ilsvnd_rerun_hdm_study;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,2660,2660,2556,2621,2621,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2657.00,2660.00,2660.00,2660.00,2660
O_500_03,O,500,2516,1,CGMRHZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;hdm_ilsvnd;ilsvnd_rerun_cucss_study;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,2516,2516,2400,2478,2478,2516,2515,2516,2516,2516,2504,2516,2516,2516,2516,2516,2507.00,2516.00,2516.00,2516.00,2516
O_500_04,O,500,2556,1,CGIMRHZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;hdm_ilsvnd;ilsvnd_published;ilsvnd_rerun_cucss_study;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,2556,2556,2441,2515,2515,2556,2556,2556,2556,2556,2553,2556,2556,2556,2556,2556,2552.00,2556.00,2556.00,2556.00,2556
O_500_05,O,500,2625,1,CGIMRHZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;hdm_ilsvnd;ilsvnd_published;ilsvnd_rerun_cucss_study;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,2625,2625,2502,2582,2582,2625,2625,2625,2625,2625,2624,2625,2625,2625,2625,2625,2622.00,2625.00,2625.00,2625.00,2633
O_500_06,O,500,2615,1,CGIMRHZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;hdm_ilsvnd;ilsvnd_published;ilsvnd_rerun_cucss_study;ilsvnd_rerun_hdm_study;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,2615,2615,2500,2557,2557,2615,2615,2615,2615,2615,2615,2615,2615,2615,2615,2615,2612.00,2615.00,2615.00,2615.00,2615
O_500_07,O,500,2627,1,CGIMRHZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;hdm_ilsvnd;ilsvnd_published;ilsvnd_rerun_cucss_study;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,2627,2627,2470,2602,2602,2627,2627,2627,2627,2627,2626,2627,2627,2627,2627,2627,2625.00,2626.80,2627.00,2627.00,2632
O_500_08,O,500,2556,1,CGIMRHZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;hdm_ilsvnd;ilsvnd_published;ilsvnd_rerun_cucss_study;ilsvnd_rerun_hdm_study;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,2556,2556,2471,2522,2522,2556,2556,2556,2556,2556,2556,2556,2556,2556,2556,2556,2552.00,2556.00,2556.00,2556.00,2556
O_500_09,O,500,2613,1,CGIMRHZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;hdm_ilsvnd;ilsvnd_published;ilsvnd_rerun_cucss_study;ilsvnd_rerun_hdm_study;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,2613,2613,2524,2572,2572,2613,2613,2613,2613,2613,2613,2613,2613,2613,2613,2613,2611.00,2613.00,2613.00,2613.00,2613
O_500_10,O,500,2558,1,CGMRHZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;hdm_ilsvnd;ilsvnd_rerun_cucss_study;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,2558,2558,2439,2537,2537,2558,2557,2558,2558,2558,2555,2558,2558,2558,2558,2558,2554.00,2557.70,2558.00,2558.00,2558
O_700_01,O,700,3589,1,CGMRHZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;hdm_ilsvnd;mfss_published;mfss_rerun_cucss_study;rldcss_published,3589,3589,3448,3511,3511,3589,3588,3589,3589,3589,3583,3589,3588,3589,3588,3589,3580.00,3589.00,3589.00,3589.00,3588
O_700_02,O,700,3424,0,CMRHZ,best_known_cucss_study;cplex_3h_cucss_study;cucss;hdm_ilsvnd;ilsvnd_rerun_cucss_study;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,3422,3424,3253,3359,3359,3422,3423,3424,3424,3424,3415,3424,3424,3424,3424,3424,3415.00,3424.00,3423.60,3423.30,3424
O_700_03,O,700,3679,1,CGMRHZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;hdm_ilsvnd;ilsvnd_rerun_cucss_study;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,3679,3679,3449,3634,3634,3679,3678,3679,3679,3679,3676,3679,3679,3679,3679,3679,3673.00,3678.70,3679.00,3678.50,3671
O_700_04,O,700,3664,1,CGMRHZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;hdm_ilsvnd;ilsvnd_rerun_cucss_study;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,3664,3664,3512,3605,3605,3664,3663,3664,3664,3664,3656,3664,3664,3664,3664,3664,3655.00,3662.60,3663.40,3664.00,3664
O_700_05,O,700,3647,1,CGIMRZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;ilsvnd_published;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,3647,3647,3457,3619,3619,3647,3647,3647,3647,3646,3640,3647,3646,3647,3647,3647,3639.00,3646.40,3646.80,3646.60,3647
O_700_06,O,700,3596,1,CGMRHZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;hdm_ilsvnd;ilsvnd_rerun_cucss_study;mfss_published;mfss_rerun_cucss_study;rldcss_published,3596,3596,3447,3553,3553,3596,3595,3596,3596,3596,3594,3596,3596,3596,3593,3596,3591.00,3596.00,3596.00,3596.00,3598
O_700_07,O,700,3542,1,CGMRHZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;hdm_ilsvnd;ilsvnd_rerun_cucss_study;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,3542,3542,3319,3446,3446,3542,3541,3542,3542,3542,3523,3542,3542,3542,3542,3542,3535.00,3542.00,3541.90,3541.80,3541
O_700_08,O,700,3619,1,CGMRHZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;hdm_ilsvnd;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,3619,3619,3389,3545,3545,3619,3615,3619,3619,3619,3615,3619,3618,3619,3619,3619,3608.00,3617.60,3618.60,3618.20,3613
O_700_09,O,700,3553,0,CGMRHZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;hdm_ilsvnd;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,3553,3553,3363,3487,3487,3553,3551,3553,3553,3553,3541,3553,3552,3553,3553,3553,3540.00,3551.50,3552.30,3553.00,3553
O_700_10,O,700,3652,1,CGMRZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;mfss_published;mfss_rerun_cucss_study;rldcss_published,3652,3652,3462,3594,3594,3652,3648,3652,3652,3650,3645,3652,3651,3652,3650,3652,3640.00,3650.90,3651.70,3651.60,3650
O_800_01,O,800,4184,0,CGMRZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,4184,4184,4024,4125,4125,4184,4180,4184,4184,4179,4171,4184,4183,4184,4184,4184,4170.00,4180.60,4183.10,4183.20,4187
O_800_02,O,800,4065,0,CGMRHZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;hdm_ilsvnd;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,4065,4065,3827,4006,4006,4065,4064,4065,4065,4065,4048,4065,4063,4065,4065,4065,4051.00,4063.20,4064.20,4064.60,4067
O_800_03,O,800,4109,0,Z,best_known_cucss_study;rldcss_rerun_cucss_study,4102,4103,3886,4018,4018,4102,4102,4107,4107,4104,4098,4109,4106,4107,4109,4107,4094.00,4104.70,4106.00,4106.10,4109
O_800_04,O,800,4057,0,Z,best_known_cucss_study;rldcss_rerun_cucss_study,4051,4050,3850,3960,3960,4051,4050,4056,4056,4056,4042,4057,4055,4055,4057,4055,4040.00,4052.40,4054.60,4053.80,4057
O_800_05,O,800,4088,0,MRZ,best_known_cucss_study;cucss;ilsvnd_rerun_cucss_study;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,4085,4086,3900,4041,4041,4085,4085,4088,4088,4085,4084,4088,4088,4088,4088,4088,4077.00,4087.70,4087.80,4087.50,4090
O_800_06,O,800,4249,0,CGMRZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,4249,4249,4084,4184,4184,4249,4247,4249,4249,4248,4240,4249,4248,4249,4249,4249,4237.00,4249.00,4248.90,4248.00,4250
O_800_07,O,800,4128,0,RZ,best_known_cucss_study;cucss;rldcss_published,4121,4122,3897,4021,4021,4121,4124,4126,4128,4125,4116,4128,4126,4126,4126,4128,4110.00,4125.60,4126.20,4127.20,4128
O_800_08,O,800,4063,1,CGMRHZ,best_known_before_2024;best_known_cucss_study;cplex_3h;cplex_3h_cucss_study;cucss;hdm_ilsvnd;ilsvnd_rerun_cucss_study;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,4063,4063,3859,4019,4019,4063,4060,4063,4063,4063,4054,4063,4063,4063,4063,4063,4052.00,4062.10,4062.50,4062.60,4061
O_800_09,O,800,4082,0,Z,best_known_cucss_study,4080,4080,3853,4017,4017,4080,4073,4080,4080,4080,4061,4082,4076,4072,4064,4073,4062.00,4078.20,4079.60,4072.40,4082
O_800_10,O,800,4131,0,MRZ,best_known_cucss_study;cucss;mfss_published;mfss_rerun_cucss_study;rldcss_published;rldcss_rerun_cucss_study,4124,4130,4050,4074,4074,4124,4129,4131,4131,4128,4127,4131,4128,4131,4131,4131,4121.00,4130.50,4130.30,4130.30,4130
