experiment,variant,instance,seed,value,weight,capacity,time_to_best_s,wall_s,kernel_s,iterations,walkers,budget_s,config_hash
sensitivity,sens_B512,O_800_03,1,4107,2400,2400,1.970,60.351,38.450,424000,512,60,7adfd960c4
sensitivity,sens_B512,O_800_03,2,4107,2400,2400,3.100,60.363,38.224,422000,512,60,7adfd960c4
sensitivity,sens_B512,O_800_03,3,4107,2399,2400,2.340,60.350,38.395,424000,512,60,7adfd960c4
sensitivity,sens_B512,O_800_08,1,4063,2399,2400,1.200,60.362,37.842,424000,512,60,7adfd960c4
sensitivity,sens_B512,O_800_08,2,4063,2400,2400,1.570,60.432,37.954,426000,512,60,7adfd960c4
sensitivity,sens_B512,O_800_08,3,4063,2400,2400,1.230,60.364,38.085,426000,512,60,7adfd960c4
sensitivity,sens_B512,O_1000_03,1,5178,2999,3000,4.960,60.337,37.156,386000,512,60,7adfd960c4
sensitivity,sens_B512,O_1000_03,2,5178,3000,3000,5.710,60.426,36.921,384000,512,60,7adfd960c4
sensitivity,sens_B512,O_1000_03,3,5178,3000,3000,3.780,60.367,37.136,386000,512,60,7adfd960c4
sensitivity,sens_B512,O_1000_08,1,5191,3000,3000,2.190,60.356,37.760,386000,512,60,7adfd960c4
sensitivity,sens_B512,O_1000_08,2,5191,3000,3000,1.960,60.372,37.832,388000,512,60,7adfd960c4
sensitivity,sens_B512,O_1000_08,3,5191,3000,3000,1.980,60.427,37.672,384000,512,60,7adfd960c4
sensitivity,sens_B512,LK_800_03,1,4257,3063,4000,1.320,60.419,54.547,592000,512,60,7adfd960c4
sensitivity,sens_B512,LK_800_03,2,4257,3048,4000,1.370,60.421,54.420,590000,512,60,7adfd960c4
sensitivity,sens_B512,LK_800_03,3,4257,3063,4000,1.160,60.432,54.514,592000,512,60,7adfd960c4
sensitivity,sens_B512,LK_800_08,1,4158,2978,4000,2.970,60.364,54.508,574000,512,60,7adfd960c4
sensitivity,sens_B512,LK_800_08,2,4158,2948,4000,3.300,60.324,54.442,572000,512,60,7adfd960c4
sensitivity,sens_B512,LK_800_08,3,4158,2936,4000,3.130,60.318,54.609,576000,512,60,7adfd960c4
sensitivity,sens_B512,LK_1000_03,1,5395,3870,5000,2.060,60.346,54.643,564000,512,60,7adfd960c4
sensitivity,sens_B512,LK_1000_03,2,5395,3842,5000,1.910,60.330,54.498,562000,512,60,7adfd960c4
sensitivity,sens_B512,LK_1000_03,3,5395,3813,5000,1.270,60.401,54.626,564000,512,60,7adfd960c4
sensitivity,sens_B512,LK_1000_08,1,5394,3872,5000,2.590,60.338,54.561,556000,512,60,7adfd960c4
sensitivity,sens_B512,LK_1000_08,2,5394,3891,5000,2.590,60.323,54.517,556000,512,60,7adfd960c4
sensitivity,sens_B512,LK_1000_08,3,5394,3872,5000,4.090,60.417,54.433,554000,512,60,7adfd960c4
sensitivity,sens_B512,MF_800_03,1,3672,2400,2400,1.000,60.324,41.753,392000,512,60,7adfd960c4
sensitivity,sens_B512,MF_800_03,2,3672,2400,2400,1.300,60.371,41.751,392000,512,60,7adfd960c4
sensitivity,sens_B512,MF_800_03,3,3672,2398,2400,1.310,60.419,41.535,390000,512,60,7adfd960c4
sensitivity,sens_B512,MF_800_08,1,3612,2396,2400,1.870,60.367,40.612,388000,512,60,7adfd960c4
sensitivity,sens_B512,MF_800_08,2,3612,2396,2400,1.540,60.421,40.564,388000,512,60,7adfd960c4
sensitivity,sens_B512,MF_800_08,3,3612,2396,2400,1.480,60.391,40.678,384000,512,60,7adfd960c4
sensitivity,sens_B512,MF_1000_03,1,4643,2998,3000,1.650,60.329,40.594,354000,512,60,7adfd960c4
sensitivity,sens_B512,MF_1000_03,2,4643,2998,3000,2.710,60.541,40.825,356000,512,60,7adfd960c4
sensitivity,sens_B512,MF_1000_03,3,4643,2998,3000,3.760,60.390,40.515,354000,512,60,7adfd960c4
sensitivity,sens_B512,MF_1000_08,1,4572,2997,3000,1.860,60.375,40.588,356000,512,60,7adfd960c4
sensitivity,sens_B512,MF_1000_08,2,4572,2998,3000,2.190,60.510,40.823,358000,512,60,7adfd960c4
sensitivity,sens_B512,MF_1000_08,3,4572,2997,3000,1.640,60.422,41.148,360000,512,60,7adfd960c4
sensitivity,sens_B2048,O_800_03,1,4107,2400,2400,3.250,60.592,50.371,170000,2048,60,2571d28a21
sensitivity,sens_B2048,O_800_03,2,4107,2399,2400,4.040,60.785,50.381,170000,2048,60,2571d28a21
sensitivity,sens_B2048,O_800_03,3,4107,2399,2400,3.950,60.817,50.447,170000,2048,60,2571d28a21
sensitivity,sens_B2048,O_800_08,1,4063,2399,2400,1.820,60.399,50.133,172000,2048,60,2571d28a21
sensitivity,sens_B2048,O_800_08,2,4063,2399,2400,1.860,60.603,50.209,172000,2048,60,2571d28a21
sensitivity,sens_B2048,O_800_08,3,4063,2399,2400,1.840,60.562,50.227,172000,2048,60,2571d28a21
sensitivity,sens_B2048,O_1000_03,1,5178,3000,3000,3.600,60.543,49.282,156000,2048,60,2571d28a21
sensitivity,sens_B2048,O_1000_03,2,5178,2999,3000,5.070,60.360,49.228,156000,2048,60,2571d28a21
sensitivity,sens_B2048,O_1000_03,3,5178,3000,3000,5.810,60.409,49.230,156000,2048,60,2571d28a21
sensitivity,sens_B2048,O_1000_08,1,5191,3000,3000,2.740,60.437,49.858,156000,2048,60,2571d28a21
sensitivity,sens_B2048,O_1000_08,2,5191,3000,3000,2.790,60.346,49.836,156000,2048,60,2571d28a21
sensitivity,sens_B2048,O_1000_08,3,5191,3000,3000,2.760,60.515,49.916,156000,2048,60,2571d28a21
sensitivity,sens_B2048,LK_800_03,1,4257,3048,4000,3.080,60.332,57.795,192000,2048,60,2571d28a21
sensitivity,sens_B2048,LK_800_03,2,4257,3060,4000,2.420,60.827,58.325,194000,2048,60,2571d28a21
sensitivity,sens_B2048,LK_800_03,3,4257,3093,4000,2.430,60.498,58.042,192000,2048,60,2571d28a21
sensitivity,sens_B2048,LK_800_08,1,4158,2959,4000,16.840,60.937,58.469,190000,2048,60,2571d28a21
sensitivity,sens_B2048,LK_800_08,2,4158,2983,4000,4.920,60.933,58.417,190000,2048,60,2571d28a21
sensitivity,sens_B2048,LK_800_08,3,4156,3098,4000,4.930,60.888,58.398,190000,2048,60,2571d28a21
sensitivity,sens_B2048,LK_1000_03,1,5395,3832,5000,3.960,60.761,58.287,182000,2048,60,2571d28a21
sensitivity,sens_B2048,LK_1000_03,2,5395,3842,5000,2.670,60.850,58.309,182000,2048,60,2571d28a21
