experiment,variant,instance,seed,time_s,value
sensitivity,sens_B512,O_800_03,1,0.370,3888
sensitivity,sens_B512,O_800_03,1,0.640,4081
sensitivity,sens_B512,O_800_03,1,0.980,4097
sensitivity,sens_B512,O_800_03,1,1.210,4101
sensitivity,sens_B512,O_800_03,1,1.440,4103
sensitivity,sens_B512,O_800_03,1,1.670,4105
sensitivity,sens_B512,O_800_03,1,1.970,4107
sensitivity,sens_B512,O_800_03,2,0.370,3905
sensitivity,sens_B512,O_800_03,2,0.650,4094
sensitivity,sens_B512,O_800_03,2,0.980,4102
sensitivity,sens_B512,O_800_03,2,1.680,4103
sensitivity,sens_B512,O_800_03,2,1.970,4105
sensitivity,sens_B512,O_800_03,2,2.250,4106
sensitivity,sens_B512,O_800_03,2,3.100,4107
sensitivity,sens_B512,O_800_03,3,0.410,3892
sensitivity,sens_B512,O_800_03,3,0.690,4097
sensitivity,sens_B512,O_800_03,3,1.020,4102
sensitivity,sens_B512,O_800_03,3,1.290,4103
sensitivity,sens_B512,O_800_03,3,1.530,4106
sensitivity,sens_B512,O_800_03,3,2.340,4107
sensitivity,sens_B512,O_800_08,1,0.360,3879
sensitivity,sens_B512,O_800_08,1,0.640,4042
sensitivity,sens_B512,O_800_08,1,0.970,4058
sensitivity,sens_B512,O_800_08,1,1.200,4063
sensitivity,sens_B512,O_800_08,2,0.450,3859
sensitivity,sens_B512,O_800_08,2,0.720,4043
sensitivity,sens_B512,O_800_08,2,1.040,4062
sensitivity,sens_B512,O_800_08,2,1.570,4063
sensitivity,sens_B512,O_800_08,3,0.380,3857
sensitivity,sens_B512,O_800_08,3,0.660,4051
sensitivity,sens_B512,O_800_08,3,0.980,4060
sensitivity,sens_B512,O_800_08,3,1.230,4063
sensitivity,sens_B512,O_1000_03,1,0.420,4823
sensitivity,sens_B512,O_1000_03,1,0.710,5164
sensitivity,sens_B512,O_1000_03,1,1.060,5171
sensitivity,sens_B512,O_1000_03,1,1.560,5177
sensitivity,sens_B512,O_1000_03,1,4.960,5178
sensitivity,sens_B512,O_1000_03,2,0.440,4840
sensitivity,sens_B512,O_1000_03,2,0.740,5143
sensitivity,sens_B512,O_1000_03,2,1.090,5166
sensitivity,sens_B512,O_1000_03,2,1.370,5177
sensitivity,sens_B512,O_1000_03,2,5.710,5178
sensitivity,sens_B512,O_1000_03,3,0.440,4836
sensitivity,sens_B512,O_1000_03,3,0.730,5136
sensitivity,sens_B512,O_1000_03,3,1.090,5168
sensitivity,sens_B512,O_1000_03,3,1.370,5176
sensitivity,sens_B512,O_1000_03,3,1.620,5177
sensitivity,sens_B512,O_1000_03,3,3.780,5178
sensitivity,sens_B512,O_1000_08,1,0.410,4954
sensitivity,sens_B512,O_1000_08,1,0.690,5164
sensitivity,sens_B512,O_1000_08,1,1.040,5180
sensitivity,sens_B512,O_1000_08,1,1.320,5188
sensitivity,sens_B512,O_1000_08,1,1.580,5190
sensitivity,sens_B512,O_1000_08,1,2.190,5191
sensitivity,sens_B512,O_1000_08,2,0.470,4959
sensitivity,sens_B512,O_1000_08,2,0.750,5157
sensitivity,sens_B512,O_1000_08,2,1.120,5186
sensitivity,sens_B512,O_1000_08,2,1.390,5190
sensitivity,sens_B512,O_1000_08,2,1.960,5191
sensitivity,sens_B512,O_1000_08,3,0.470,4920
sensitivity,sens_B512,O_1000_08,3,0.760,5158
sensitivity,sens_B512,O_1000_08,3,1.110,5184
sensitivity,sens_B512,O_1000_08,3,1.390,5188
sensitivity,sens_B512,O_1000_08,3,1.660,5190
sensitivity,sens_B512,O_1000_08,3,1.980,5191
sensitivity,sens_B512,LK_800_03,1,0.370,3983
sensitivity,sens_B512,LK_800_03,1,0.650,4157
sensitivity,sens_B512,LK_800_03,1,0.930,4247
sensitivity,sens_B512,LK_800_03,1,1.120,4253
sensitivity,sens_B512,LK_800_03,1,1.320,4257
sensitivity,sens_B512,LK_800_03,2,0.420,3993
sensitivity,sens_B512,LK_800_03,2,0.690,4159
sensitivity,sens_B512,LK_800_03,2,0.970,4236
sensitivity,sens_B512,LK_800_03,2,1.170,4244
sensitivity,sens_B512,LK_800_03,2,1.370,4257
sensitivity,sens_B512,LK_800_03,3,0.400,3998
sensitivity,sens_B512,LK_800_03,3,0.680,4210
sensitivity,sens_B512,LK_800_03,3,0.970,4240
sensitivity,sens_B512,LK_800_03,3,1.160,4257
sensitivity,sens_B512,LK_800_08,1,0.390,3925
sensitivity,sens_B512,LK_800_08,1,0.660,4106
sensitivity,sens_B512,LK_800_08,1,0.940,4130
sensitivity,sens_B512,LK_800_08,1,1.140,4133
sensitivity,sens_B512,LK_800_08,1,1.330,4145
sensitivity,sens_B512,LK_800_08,1,1.530,4146
sensitivity,sens_B512,LK_800_08,1,1.730,4148
sensitivity,sens_B512,LK_800_08,1,1.930,4150
sensitivity,sens_B512,LK_800_08,1,2.140,4151
sensitivity,sens_B512,LK_800_08,1,2.560,4152
sensitivity,sens_B512,LK_800_08,1,2.770,4157
sensitivity,sens_B512,LK_800_08,1,2.970,4158
sensitivity,sens_B512,LK_800_08,2,0.500,3931
sensitivity,sens_B512,LK_800_08,2,0.780,4105
sensitivity,sens_B512,LK_800_08,2,1.060,4127
sensitivity,sens_B512,LK_800_08,2,1.250,4142
sensitivity,sens_B512,LK_800_08,2,1.650,4147
sensitivity,sens_B512,LK_800_08,2,1.850,4148
sensitivity,sens_B512,LK_800_08,2,2.060,4149
sensitivity,sens_B512,LK_800_08,2,2.270,4150
sensitivity,sens_B512,LK_800_08,2,2.680,4153
sensitivity,sens_B512,LK_800_08,2,3.300,4158
sensitivity,sens_B512,LK_800_08,3,0.360,3941
sensitivity,sens_B512,LK_800_08,3,0.640,4105
sensitivity,sens_B512,LK_800_08,3,0.910,4117
sensitivity,sens_B512,LK_800_08,3,1.100,4134
sensitivity,sens_B512,LK_800_08,3,1.290,4145
sensitivity,sens_B512,LK_800_08,3,1.680,4148
sensitivity,sens_B512,LK_800_08,3,1.890,4151
sensitivity,sens_B512,LK_800_08,3,2.510,4154
sensitivity,sens_B512,LK_800_08,3,2.720,4155
sensitivity,sens_B512,LK_800_08,3,3.130,4158
sensitivity,sens_B512,LK_1000_03,1,0.430,5000
sensitivity,sens_B512,LK_1000_03,1,0.730,5307
sensitivity,sens_B512,LK_1000_03,1,1.020,5368
sensitivity,sens_B512,LK_1000_03,1,1.220,5380
sensitivity,sens_B512,LK_1000_03,1,1.430,5389
sensitivity,sens_B512,LK_1000_03,1,1.640,5392
